time,springDeflFL,springDeflFR,camberFL,camberFR,cmComFL,cmComFR,cmCamKinFL,cmCamKinFR,cmCamFL,cmCamFR,cmPitchCenterL,cmPitchCenterR
0,-0.000192799167775482,-0.000192568084661895,-5.69856114595658e-05,5.69173102698992e-05,-0.000886241672560573,-0.000886001042090356,-0.000256283470662311,0.000256283325143158,-0.000650721660349518,0.000650721834972501,1.6133885383606,1.61339890956879
0.01,-0.000197113255857746,-0.000185338013214376,-5.73246941589124e-05,5.72218211812548e-05,-0.000917865429073572,-0.00090623483993113,-0.000262994930380955,0.000263447727775201,-0.000697329873219132,0.000686773331835866,1.59092903137207,1.59203147888184
0.02,-0.000175025053942143,-0.000143358670801527,-4.80847808735185e-05,5.18859670749399e-05,-0.000943370396271348,-0.000911963346879929,-0.000266255956375971,0.000270785414613783,-0.000728137092664838,0.000667747866827995,1.58962082862854,1.59417819976807
0.03,-0.000109306981997778,-5.96349130752155e-05,-2.79906222356342e-05,2.88853165910349e-05,-0.000939193181693554,-0.000886910362169147,-0.000264801376033574,0.000265596871031448,-0.000743675802368671,0.000635246396996081,1.58924043178558,1.59442532062531
0.04,6.08103820488684e-06,6.83999392530185e-05,3.41110269541247e-06,-1.47520095134756e-05,-0.000899850332643837,-0.000833748606964946,-0.000259094289503992,0.000246212730417028,-0.000721060263458639,0.000626600987743586,1.59058964252472,1.59182441234589
0.05,0.000176647894366039,0.00024693385050939,4.35230831063482e-05,-7.16238732728354e-05,-0.00082289450801909,-0.000755003711674362,-0.000244981871219352,0.000216875007026829,-0.000660504738334566,0.00064191356068477,1.59231734275818,1.58771181106567
0.06,0.000400315930127366,0.00047659629553061,9.71418739339311e-05,-0.000139595872228176,-0.00071343028685078,-0.000651485286653042,-0.000220309899304993,0.000181285664439201,-0.000585128553211689,0.000659226032439619,1.5931339263916,1.58347499370575
0.07,0.000666524239571699,0.000749647881083364,0.000165815524832122,-0.000218552745663422,-0.00058134802384302,-0.000525214243680239,-0.000186673511052504,0.000141187847475521,-0.000514992512762547,0.000660477147903293,1.5926741361618,1.57967054843903
0.0800000000000001,0.000959160773133357,0.00105186355777373,0.00024470394771695,-0.000304622222229269,-0.000436899543274194,-0.000380918907467276,-0.000147291997564025,9.76538649410941e-05,-0.000457198155345395,0.000641017919406295,1.59118342399597,1.5762974023819
0.0900000000000001,0.00126047221426392,0.00136651221522675,0.000328076124892977,-0.000393394019555548,-0.000289270334178582,-0.000225870186113752,-0.000105385945062153,5.22338450537063e-05,-0.000411092391004786,0.000604912755079567,1.58902502059937,1.57326376438141
