time,springDeflFL,springDeflFR,camberFL,camberFR,cmComFL,cmComFR,cmCamKinFL,cmCamKinFR,cmCamFL,cmCamFR,cmPitchCenterL,cmPitchCenterR
0,-0.000192799167775482,-0.000192568084661895,-5.69856114595658e-05,5.69173102698992e-05,-0.000886241672560573,-0.000886001042090356,-0.000256283470662311,0.000256283325143158,-0.000650721660349518,0.000650721834972501,1.6133885383606,1.61339890956879
0.01,-0.000197171662463331,-0.000185279597634119,-5.82530933677211e-05,5.48279898647111e-05,-0.000917774217668921,-0.000906326051335782,-0.000264605099800974,0.000261835695710033,-0.000694006273988634,0.00069009541766718,1.59156286716461,1.59139776229858
0.02,-0.000176210197453887,-0.000142174137802523,-5.20464441016589e-05,4.21162008842381e-05,-0.000942910904996097,-0.000912428018637002,-0.000272576377028599,0.000264437665464357,-0.000704675214365125,0.000691190711222589,1.59216773509979,1.59163439273834
0.03,-0.000114231517193447,-5.47178150255838e-05,-3.37905296433057e-05,1.616252052341e-05,-0.000939531542826444,-0.000886603142134845,-0.000272559584118426,0.000257808133028448,-0.000700529140885919,0.000678372045513242,1.59235298633575,1.59131109714508
0.04,-4.43777040825574e-06,7.89072248196741e-05,-1.46219426445809e-06,-2.22023949678794e-05,-0.000904359389096498,-0.00082926539471373,-0.000263382389675826,0.00024192662385758,-0.000687820604071021,0.000659839308355004,1.59199857711792,1.59040987491608
0.05,0.000161604709758212,0.000261963866657551,4.51024956875612e-05,-7.36140486841313e-05,-0.000834426144137979,-0.00074348907219246,-0.000244135924731381,0.00021771878527943,-0.00066620169673115,0.0006362060084939,1.59102213382721,1.58901047706604
0.06,0.000384673692319068,0.000492223213106836,0.000107623549121823,-0.000138265634441455,-0.000731281994376332,-0.000633644813206047,-0.0002151275111828,0.000186409204616211,-0.000636111537460238,0.000608145666774362,1.58943521976471,1.58719098567963
0.07,0.000655628807950534,0.000760522358477567,0.000183616741199061,-0.000213580001583502,-0.000601008126977831,-0.000505556061398238,-0.000178044298081659,0.000149691244587302,-0.000599111430346966,0.000576132035348564,1.58732461929321,1.58505189418793
0.0800000000000001,0.000958420008724946,0.00105257583483061,0.000268590759718762,-0.000295543020076455,-0.000451948289992288,-0.000365856423741207,-0.000135278052766807,0.000109493143099826,-0.00055727013386786,0.000540615001227707,1.5848194360733,1.58270370960236
0.0900000000000001,0.00127454942553166,0.00135240153941622,0.000357355249865363,-0.000379669046428791,-0.000293444987619296,-0.000221662427065894,-8.95409975782968e-05,6.78796204738319e-05,-0.000512964557856321,0.000502657378092408,1.58207523822784,1.58026254177094
0.1,0.00158623077545685,0.00164477616160518,0.000444911066873574,-0.0004616886611394,-0.000134703252115287,-7.99659683252685e-05,-4.35264955740422e-05,2.68801268248353e-05,-0.000468563899630681,0.000463811156805605,1.57925641536713,1.57784450054169
0.11,0.00187844419815766,0.00191685696262931,0.00052702832808345,-0.000538003295501929,1.60676845553098e-05,5.29072895005811e-05,3.51310347923572e-07,-1.16706269182032e-05,-0.00042623354238458,0.000425893085775897,1.57652068138123,1.57555866241455
