time,springDeflFL,springDeflFR,camberFL,camberFR,cmComFL,cmComFR,cmCamKinFL,cmCamKinFR,cmCamFL,cmCamFR,cmPitchCenterL,cmPitchCenterR
57.379999999957,-0.0229428950140856,0.0270570577616006,-0.0100825104619149,-0.00594193760701459,-0.0242793764919043,0.0197088774293661,-0.0100182024762034,-0.00600126478821039,-0.00473450450226665,0.00201699766330421,2.18158268928528,-1.68883645534515
57.3899999999569,-0.0229405933665989,0.0270532099830195,-0.0100813393754006,-0.00594146435762883,-0.0242767408490181,0.0197067894041538,-0.0100170578807592,-0.00600076513364911,-0.00473377481102943,0.00201666937209666,2.18156385421753,-1.68794476985931
57.3999999999569,-0.0229383489380409,0.0270493318712559,-0.0100801916860999,-0.00594099140077254,-0.0242741573601961,0.0197047051042318,-0.010015937499702,-0.00600026687607169,-0.00473306281492114,0.00201635248959064,2.18154549598694,-1.68706059455872
57.4099999999569,-0.0229362158515888,0.0270453621323315,-0.0100790686840349,-0.00594051828807757,-0.0242716297507286,0.019702622666955,-0.0100148404017091,-0.00599976908415556,-0.00473236804828048,0.00201604701578617,2.18152737617493,-1.68618404865265
57.4199999999569,-0.0229340179405023,0.0270414835291286,-0.0100779693764133,-0.00594004588245844,-0.0242691542953253,0.0197005458176136,-0.0100137675181031,-0.00599927268922329,-0.00473169051110744,0.00201575295068324,2.18150949478149,-1.68531501293182
57.4299999999569,-0.0229319917082747,0.0270374579855437,-0.0100768938146671,-0.00593957335454516,-0.0242667328566313,0.0196984708309174,-0.010012716986239,-0.00599877722561359,-0.00473103020340204,0.0020154700614512,2.18149209022522,-1.68445372581482
57.4399999999568,-0.0229298978339245,0.0270335262305223,-0.0100758416509022,-0.00593910156725081,-0.0242643635720015,0.0196964014321566,-0.0100116897374392,-0.00599828315898776,-0.00473038712516427,0.00201519811525941,2.18147492408752,-1.68360006809235
57.4499999999568,-0.0229279760211448,0.0270294524920601,-0.0100748138270574,-0.00593863003855058,-0.024262048304081,0.0196943357586861,-0.0100106848403811,-0.00599779048934579,-0.00472976081073284,0.00201493711210787,2.18145823478699,-1.68275427818298
57.4599999999568,-0.0229260452856403,0.0270254157305838,-0.0100738084597942,-0.00593815928401377,-0.0242597833275795,0.019692275673151,-0.0100097032263875,-0.00599729875102639,-0.00472915172576904,0.00201468681916595,2.18144178390503,-1.68191623687744
57.4699999999568,-0.0229241643464531,0.0270213591101331,-0.0100728268391142,-0.00593768885527824,-0.0242575723677874,0.0196902193129063,-0.0100087439641356,-0.00599680840969086,-0.0047285589389503,0.00201444746926427,2.18142557144165,-1.68108606338501
57.4799999999567,-0.0229223345991768,0.0270172848735797,-0.0100718679721904,-0.00593721961524704,-0.0242554116994143,0.0196881704032421,-0.0100078079849482,-0.00599631993100047,-0.0047279829159379,0.0020142188295722,2.18140983581543,-1.68026387691498
57.4899999999567,-0.0229205536519988,0.0270131938976987,-0.0100709325041047,-0.00593675111555511,-0.0242533031851053,0.0196861270815134,-0.0100068943575025,-0.00599583284929395,-0.00472742319107056,0.00201400043442845,2.18139433860779,-1.67944967746735
57.4999999999567,-0.0229188806668315,0.0270090279360086,-0.0100700194932456,-0.00593628338980943,-0.0242512449622154,0.0196840893477201,-0.010006002150476,-0.00599534716457129,-0.00472687976434827,0.00201379251666367,2.18137907981873,-1.67864346504211
57.5099999999567,-0.0229171362926256,0.0270049678301903,-0.0100691289397623,-0.00593581643795732,-0.0242492370307446,0.0196820572018623,-0.0100051322951913,-0.00599486334249377,-0.00472635263577104,0.00201359461061656,2.18136429786682,-1.67784523963928
57.5199999999566,-0.0229155583779009,0.0270007766442813,-0.0100682614887231,-0.00593535115655741,-0.0242472812533379,0.0196800343692303,-0.0100042838603258,-0.0059943818487227,-0.00472584133967757,0.00201340694911778,2.1813497543335,-1.67705523967743
57.5299999999566,-0.0229139689338523,0.0269966367064521,-0.010067415502353,-0.00593488661527882,-0.0242453720420599,0.0196780171245337,-0.0100034577772021,-0.00599390175193548,-0.00472534634172916,0.00201322906650603,2.18133544921875,-1.67627346515656
57.5399999999566,-0.022912425759761,0.0269924882754109,-0.010066592321854,-0.00593442332970433,-0.0242435149848461,0.0196760073304176,-0.0100026531144977,-0.00599342351779342,-0.00472486671060324,0.00201306119561195,2.18132162094116,-1.67549991607666
57.5499999999566,-0.0229109280641696,0.0269883333732582,-0.0100657903094374,-0.00593396171442027,-0.0242417044937611,0.0196740068495274,-0.0100018698722124,-0.00599294807761908,-0.00472440291196108,0.00201290287077427,2.18130803108215,-1.67473459243774
57.5599999999566,-0.0229094755149202,0.0269841731419751,-0.0100650104582246,-0.00593350135473721,-0.024239944294095,0.0196720138192177,-0.0100011080503464,-0.0059924740344286,-0.00472395401448011,0.00201275409199297,2.18129467964172,-1.67397773265839
57.5699999999565,-0.0229081274004482,0.0269799491993868,-0.0100642517753428,-0.0059330426652394,-0.0242382306605577,0.0196700301021338,-0.010000366717577,-0.00599200278520584,-0.00472352094948292,0.00201261462643743,2.18128180503845,-1.67322909832001
57.5799999999565,-0.0229067041154876,0.0269758425679017,-0.010063514608979,-0.0059325861278461,-0.0242365654557943,0.0196680575609207,-0.00999964587390423,-0.00599153386428952,-0.00472310278564692,0.00201248424127698,2.18126916885376,-1.67248904705048
57.5899999999565,-0.0229054437463869,0.0269716157773608,-0.0100627986111796,-0.00593213081223052,-0.0242349468171597,0.0196660924702883,-0.00999894645065069,-0.00599106680601835,-0.00472269998863339,0.00201236293651164,2.18125677108765,-1.6717574596405
57.5999999999565,-0.0229041686521508,0.0269674505403569,-0.0100621041301241,-0.00593167720031503,-0.0242333766072989,0.0196641366928816,-0.00999826658517122,-0.00599060300737619,-0.00472231162711978,0.00201225071214139,2.18124485015869,-1.67103445529938
57.6099999999564,-0.0229028751734508,0.0269633455577824,-0.010061429579196,-0.00593122577402425,-0.0242318511009216,0.0196621920913458,-0.00999760814011097,-0.00599014153704047,-0.00472193770110607,0.00201214710250497,2.18123316764832,-1.6703200340271
57.6199999999564,-0.0229018028860199,0.0269590649093541,-0.010060776197152,-0.00593077646596332,-0.0242303721606731,0.0196602586656809,-0.00999696832150221,-0.00598968239501119,-0.00472157867625356,0.00201205210760236,2.18122172355652,-1.66961419582367
57.6299999999564,-0.0229005947808405,0.0269549708558705,-0.0100601427454319,-0.00593032979172937,-0.0242289379239082,0.019658338278532,-0.00999634899199009,-0.00598922651261091,-0.00472123408690095,0.00201196526177227,2.18121075630188,-1.66891717910767
57.6399999999564,-0.022899484288232,0.0269508279460161,-0.0100595295209932,-0.00592988526929916,-0.0242275483906269,0.0196564290672541,-0.00999574922025204,-0.00598877388983965,-0.00472090253606439,0.00201188656501472,2.18120002746582,-1.66822946071625
57.6499999999563,-0.0228984707931322,0.0269466439661325,-0.0100589346403266,-0.00592944386257593,-0.0242261998355389,0.0196545347571373,-0.00999516807496548,-0.0059883245266974,-0.00472058448940516,0.00201181531883776,2.18118953704834,-1.66755092144012
57.6599999999563,-0.0228973734878049,0.0269426040042604,-0.0100583584003795,-0.00592900553783738,-0.0242248922586441,0.0196526553481817,-0.00999460462480783,-0.00598787935450673,-0.00472027901560068,0.00201175105758011,2.18117928504944,-1.66688203811646
57.6699999999563,-0.0228964291444072,0.0269384750540314,-0.0100577995113637,-0.00592857119163439,-0.0242236219346523,0.0196507945656776,-0.00999405793845654,-0.00598743837326765,-0.00471998564898968,0.00201169308274984,2.1811695098877,-1.66622292995453
57.6799999999563,-0.0228954556718612,0.0269344397034965,-0.0100572583214166,-0.00592814085759724,-0.0242223907262087,0.0196489524096251,-0.00999352801591158,-0.00598700158298016,-0.00471970345824957,0.00201164116151631,2.18115997314453,-1.6655740737915
57.6899999999562,-0.0228945128348969,0.0269304439055412,-0.0100567328958039,-0.00592771498397903,-0.0242211930453777,0.0196471307426691,-0.00999301392585039,-0.00598656991496682,-0.00471943290904164,0.00201159459538758,2.18115067481995,-1.66493558883667
57.6999999999562,-0.022893598036194,0.0269264896304887,-0.0100562235826521,-0.00592729315611671,-0.0242200307548046,0.0196453277021646,-0.00999251566827297,-0.00598614290356636,-0.00471917213872075,0.00201155338436365,2.18114161491394,-1.66430771350861
57.7099999999562,-0.0228927105149596,0.0269225796672444,-0.0100557303308312,-0.0059268762032019,-0.0242189019918442,0.019643547013402,-0.00999203231185675,-0.00598572148010135,-0.00471892207860947,0.00201151706278324,2.18113303184509,-1.66369068622589
57.7199999999562,-0.0228918481019056,0.0269187141847968,-0.0100552519017195,-0.00592646419255157,-0.0242178048938513,0.0196417886763811,-0.00999156385660172,-0.00598530517891049,-0.00471868086606264,0.00201148563064635,2.18112468719482,-1.66308450698853
57.7299999999562,-0.022891073173408,0.0269148375462674,-0.0100547885922449,-0.0059260570904413,-0.0242167394608259,0.019640052691102,-0.0099911093711853,-0.0059848939999938,-0.00471844989806414,0.00201145862229168,2.18111681938171,-1.66248917579651
57.7399999999561,-0.0228902018637035,0.0269111252111259,-0.0100543394606494,-0.00592565537880863,-0.0242157038301229,0.0196383409202099,-0.00999066978693008,-0.00598448887467384,-0.0047182273119688,0.00201143603771925,2.1811089515686,-1.66190493106842
57.7499999999561,-0.0228894776424523,0.0269073421480401,-0.0100539045069816,-0.00592525816101947,-0.0242146980017424,0.0196366496384144,-0.00999024324119091,-0.00598408887162805,-0.00471801403909922,0.0020114176440984,2.18110156059265,-1.66133165359497
57.7599999999561,-0.0228887171016741,0.0269036626253439,-0.0100534837312885,-0.00592486633362842,-0.0242137219756842,0.0196349825710058,-0.00998983066529036,-0.0059836944565177,-0.00471780961379409,0.00201140367425978,2.18109440803528,-1.66076922416687
57.7699999999561,-0.0228879224094374,0.0269000864462843,-0.0100530780754308,-0.00592447941461427,-0.0242127776145935,0.0196333378553391,-0.00998943205922842,-0.00598330516368151,-0.00471761357039213,0.00201139389537275,2.18108773231506,-1.66021764278412
57.779999999956,-0.0228872741724376,0.0268964344759334,-0.0100526856558226,-0.00592409747131071,-0.0242118611931801,0.0196317154914141,-0.00998904649168253,-0.00598292192444205,-0.00471742684021592,0.00201138807460666,2.18108105659485,-1.65967667102814
57.789999999956,-0.0228865914014716,0.0268928809272955,-0.0100523074143203,-0.00592372046999584,-0.0242109745740891,0.0196301154792309,-0.00998867489397526,-0.00598254334181547,-0.00471724849194288,0.0020113866776228,2.18107485771179,-1.65914642810822
57.799999999956,-0.0228859359514204,0.0268893647487979,-0.010051943995903,-0.00592334796233812,-0.0242101196199656,0.0196285359561443,-0.00998831726610661,-0.00598217034712434,-0.0047170789912343,0.00201138947159052,2.18106889724731,-1.65862643718719
57.809999999956,-0.0228853084866287,0.0268858839237011,-0.0100515938138521,-0.00592297998199189,-0.0242092926055193,0.0196269769221544,-0.009987972676754,-0.00598180247470737,-0.00471691880375147,0.00201139668934047,2.18106317520142,-1.65811669826508
57.8199999999559,-0.0228847682297035,0.0268823738804059,-0.0100512584549614,-0.00592261694353115,-0.0242084972560406,0.0196254402399063,-0.00998764298856258,-0.00598143925890326,-0.00471676746383309,0.00201140809804201,2.1810576915741,-1.65761697292328
57.8299999999559,-0.0228841371556689,0.0268790113558247,-0.0100509376223862,-0.00592225798402231,-0.0242077335715294,0.0196239221841097,-0.00998732633888721,-0.00598108116537333,-0.00471662543714046,0.00201142393052578,2.18105268478394,-1.65712714195251
57.8399999999559,-0.0228835964260794,0.0268756154259027,-0.0100506313161593,-0.00592190310343554,-0.0242070015519857,0.0196224227547646,-0.00998702365905046,-0.00598072726279497,-0.00471649272367358,0.00201144418679178,2.18104767799377,-1.65664672851562
57.8499999999559,-0.0228831471759499,0.0268721834098779,-0.0100503398331936,-0.00592155226804997,-0.0242063011974096,0.0196209419518709,-0.00998673588037491,-0.00598037801682949,-0.00471636978909373,0.00201146933250129,2.18104314804077,-1.65617573261261
57.8599999999559,-0.0228826082494205,0.0268688882141073,-0.0100500625797555,-0.00592120509692488,-0.0242056325078011,0.0196194779127836,-0.00998646207153797,-0.00598003342747688,-0.0047162570990622,0.00201149890199304,2.18103861808777,-1.65571367740631
